Strategy,Trades,Win Rate %,Profit Factor,Mean Ret %,Total Ret %,Sharpe,Max DD %,Win Rate CI,Sharpe CI,Profit Fact CI
ML-validated,10587,44.89,1.28,1.0307,10911.85,0.419,-100.0,"[43.9, 45.8]","[0.327, 0.508]","[1.209, 1.352]"
Signal-only,13963,39.4,0.762,-0.7979,-11140.89,-0.468,-100.0,"[38.5, 40.2]","[-0.554, -0.376]","[0.724, 0.802]"
Always-in,148272,37.55,0.79,-0.6929,-102741.67,-0.401,-100.0,"[37.3, 37.8]","[-0.426, -0.373]","[0.779, 0.803]"
