Threshold,Trades,Win Rate %,Profit Factor,Mean Ret/Trade %,Sharpe (ann.),Signal-only PF,PF Lift vs Signal-only
0.55,10587,44.9,1.28,1.0307,0.419,0.762,0.518
0.6,5249,47.6,1.498,1.7468,0.667,0.762,0.736
0.65,2467,48.2,1.714,2.4503,0.827,0.762,0.952
