Symbol,Date,Close,RSI_14,MACD,BB_pctB,Volume_ratio,ML_confidence,Active_signals
BNL,2025-07-29,16980.5,94.53253143794424,264.4504354953024,0.5807523968789192,0.8,0.42107207,none
RBCL,2025-08-20,15484.16,67.595818815331,20.92235089154383,0.28221810643741374,0.2845749501540692,0.4127295,none
UNL,2025-08-20,47500.0,48.81178707224335,131.05190930019307,0.43789961226751944,0.032207638633366904,0.49958923,none
SBL,2025-08-21,364.44,70.17543859649123,1.7622903731237898,0.2184455383814203,0.23981960121458124,0.390778,none
SAHAS,2025-08-21,640.17,77.05974228816868,31.27532871239987,0.5718868328985556,0.4220825822466322,0.47774795,none
BBC,2025-08-21,5321.86,23.80952380952381,-44.52944641481281,0.1530428092215351,0.4097655409765541,0.4025936,none
CLI,2025-08-21,476.45,18.48341232227486,-3.4529610589124786,0.2521502272766811,0.3401606131676542,0.41241837,none
CZBIL,2025-08-21,208.23,45.833333333333336,-3.439513870478038,0.16503131666045884,0.8194473001234099,0.414183,none
SBI,2025-08-21,385.29,51.0,-9.050712706622392,0.11950122801536762,0.8965291211194156,0.46295595,none
ADBL,2025-08-21,329.26,57.14285714285714,4.354149501181723,0.33237895453240324,0.566226581214405,0.4309289,none
SANIMA,2025-08-21,367.43,5.343511450381669,2.918330518406435,0.3394968999594152,0.5391482792265504,0.5464545,none
EBL,2025-08-21,747.77,50.0,10.023093536453873,0.8900176606524631,1.2269559876880074,0.65993804,MACD-cross
SAPDBL,2025-08-21,850.16,33.33333333333333,-38.60580400608353,0.2335902435228578,0.4514896348831582,0.4360338,none
DDBL,2025-08-21,894.29,46.15384615384615,3.016205311498652,0.23116243507091272,0.3641181540255809,0.3486334,none
MFIL,2025-08-21,670.99,16.666666666666657,5.611498209220258,0.19712187499573816,0.21236078250331814,0.36511347,none
SCB,2025-08-21,626.12,47.57281553398058,-5.400210141286948,0.17466431072162736,0.40612601148256267,0.36004668,none
UNHPL,2025-08-21,387.1,2.3255813953488342,-5.559813890649991,0.32559381321906666,0.610646228052546,0.532766,none
BGWT,2025-08-21,905.0,49.19117647058824,-12.83585404460905,0.22983559086258581,0.2603381507325396,0.36944863,none
TRH,2025-08-21,956.83,30.769230769230774,-6.251541145254123,0.3813335336231856,0.4117225573347291,0.42011645,none
BFC,2025-08-21,499.32,45.070422535211264,-4.206048054168491,0.20528812689585688,0.3697099637993449,0.4475111,none
SWBBL,2025-08-21,877.37,48.57142857142856,-3.209657149635177,0.14752160190664607,0.21565237466845413,0.44706196,none
BHPL,2025-08-21,785.71,96.7666763763472,-3.718764186307226,0.3106622135034414,0.5915622954162507,0.34495208,none
SPDL,2025-08-21,397.56,62.10526315789473,-3.7451397024686335,0.2168210950814496,0.4942115168852567,0.38955688,none
BNT,2025-08-21,12111.68,100.0,-267.1213664363786,0.15663498179518,1.1511758118701008,0.42340568,none
SNLI,2025-08-21,468.8,37.14622641509436,-8.42671025656307,0.2896609976807973,0.5529147114807162,0.4526471,none
BPCL,2025-08-21,825.98,39.68253968253968,-12.065433096167908,0.20300151062674573,0.612461823214277,0.45616788,none
SKBBL,2025-08-21,878.56,74.71264367816093,-1.3163976050961992,0.26940902661727856,0.2394126178705225,0.40184683,none
CBBL,2025-08-21,1048.96,12.698412698412696,5.773605709175399,0.3617729661050554,0.4654093966044302,0.43754017,none
SINDU,2025-08-21,755.21,17.391304347826093,-21.14006234157705,0.11809844685550334,0.40293488777667613,0.36589915,none
CGH,2025-08-21,1058.06,100.0,4.228643885725887,0.6647179137287705,0.9898557139427514,0.5071766,MACD-cross
SIKLES,2025-08-21,908.85,35.34822601839686,0.5385229089423547,0.224407214712704,0.3685437496762161,0.50284183,none
CHCL,2025-08-21,511.59,52.747252747252745,-7.185706142704817,0.19042270339850595,0.4249114602195697,0.39313257,none
SICL,2025-08-21,738.35,53.65853658536585,-11.41762824495595,0.07883167209374424,0.918818625457503,0.35896853,none
CHDC,2025-08-21,2574.03,63.366336633663366,-35.43526045978933,0.17360492733309213,0.3479309981887103,0.42335215,none
BEDC,2025-08-21,730.61,64.15094339622641,2.784236413063581,0.2329059327451785,0.4285828227531451,0.3801802,none
SHL,2025-08-21,563.63,96.51162790697674,-2.767205919966841,0.3814033902339806,0.22245879307571273,0.34740293,none
CHL,2025-08-21,297.2,5.555555555555557,-6.984053909557701,0.19175548722926355,0.37523371230533653,0.45386672,none
SHIVM,2025-08-21,623.01,5.6451612903225765,12.13035110592648,0.27040249554725987,0.3141514608773531,0.45190954,none
CIT,2025-08-21,1932.99,93.78531073446328,-11.153016696968052,0.254322141777577,0.20445188472197748,0.3289939,none
CITY,2025-08-21,598.26,100.0,-82.0305028712595,0.19524624555999726,0.30477692479057417,0.27017105,none
SHPC,2025-08-21,557.48,82.65306122448979,-13.698160636199532,0.20133225149394032,0.32538722152871,0.35384315,none
GFCL,2025-08-21,631.24,13.333333333333329,-11.166554476674264,0.10967309725770216,0.4434632329483513,0.5151654,none
SADBL,2025-08-21,435.08,0.0,-3.071026606801638,0.24676530815665532,0.2403240061871098,0.45494795,none
JBBL,2025-08-21,332.34,57.89473684210526,-5.560844422715036,0.1580886339290187,0.5147011348820771,0.4222375,none
NLG,2025-08-21,805.0,79.92277992277992,-8.764138632050049,0.21000841384991215,0.25072582570966134,0.40515113,none
JFL,2025-08-21,468.78,34.78260869565217,-8.318074863983554,0.15565283577657113,0.37128247378366036,0.42375284,none
NIL,2025-08-21,698.05,64.58333333333334,-5.401197769710734,0.20049941934832413,0.20348998611937338,0.3546018,none
JOSHI,2025-08-21,310.04,0.0,-9.28633645572978,0.07844823351901437,0.7425777376253248,0.47305268,none
AKJCL,2025-08-21,205.11,25.0,-2.261215613943562,0.2411775938526606,0.32441110375321497,0.4004307,none
NICL,2025-08-21,605.4,6.38297872340425,-14.809235949140543,0.2839300009688683,0.3159177279452293,0.49437335,none
KBL,2025-08-21,201.85,37.5,-3.935653854442279,0.17988373268207403,0.27159936400576673,0.43369982,none
NICA,2025-08-21,348.38,82.84023668639054,-8.769471350225388,0.12096227820634466,0.2899925365750575,0.4660387,none
KDL,2025-08-21,1080.49,100.0,-11.630289192921056,0.21112352752096578,0.33531414663197007,0.30768916,none
NHPC,2025-08-21,209.02,46.15384615384615,-2.348229191393898,0.2321065672584197,0.40617847744968816,0.41809025,none
NLIC,2025-08-21,776.54,93.20388349514565,-5.902269247233335,0.2218608361891149,0.42398028930636866,0.34646502,none
KPCL,2025-08-21,590.74,38.46153846153846,4.200731577883516,0.2486418433534111,0.32704388846110904,0.3939506,none
LICN,2025-08-21,863.46,60.3960396039604,-13.972872946214352,0.239773127770307,0.9270706298331439,0.38019213,none
NADEP,2025-08-21,849.04,100.0,-12.988099849442165,0.15866587901061585,0.1250066570160107,0.41105264,none
ALICL,2025-08-21,488.57,46.51162790697675,-9.493563804897065,0.2960969441509163,0.49890853080755576,0.4315826,none
NABIL,2025-08-21,518.14,42.23826714801445,-1.2063562603519813,0.22727773816645316,0.4381264782792359,0.3714965,none
LLBS,2025-08-21,1063.82,83.76068376068376,-22.229700915041803,0.24569974404830822,0.5477815699658704,0.42068118,none
MSHL,2025-08-21,899.34,51.74094707520892,-1.3569457121591313,0.448734224649269,0.2920815804888439,0.43932202,none
MANDU,2025-08-21,849.14,56.543837357052105,-11.446166940399737,0.0714540579802852,0.6307107398668282,0.37768394,none
AKPL,2025-08-21,257.5,79.79797979797979,-2.4205903026767146,0.20761469986435077,0.48145155000489537,0.41579032,none
MNBBL,2025-08-21,445.17,69.69696969696969,8.401278875103912,0.3235759580713446,0.48005537997375186,0.3996333,none
MBL,2025-08-21,247.29,84.90566037735849,0.885644387460701,0.15754134361965993,0.4399924640868244,0.3970009,none
MDB,2025-08-21,621.46,58.82352941176471,-6.142169709377754,0.23049474919049576,0.471475970805036,0.4254214,none
NBL,2025-08-21,255.6,100.0,-6.594496073376945,0.12372035112240726,0.4125162943936286,0.49473903,none
FMDBL,2025-08-21,870.69,50.0,5.885767848424734,0.15803590471110018,0.279638492486303,0.41252828,none
UPCL,2025-08-21,389.15,0.0,-6.4687590817515,0.15633548802431846,0.4261830360143137,0.4434748,none
ILI,2025-08-21,454.06,48.66828087167072,-2.6731052810513347,0.329148266989964,0.38488339642476194,0.37695172,none
FOWAD,2025-08-21,1136.77,100.0,-17.18595840497278,0.13693753167682526,0.3590800855097492,0.44776925,none
RNLI,2025-08-21,477.27,25.099601593625493,-2.01934302159907,0.3025951009678748,0.4901601463925353,0.43372315,none
GBBL,2025-08-21,426.14,58.82352941176471,-0.7679759844135106,0.2885922995678736,0.24104956449581166,0.46419325,none
RLFL,2025-08-21,476.24,18.51851851851852,-6.597362680217884,0.1902536649946412,0.28119642849232707,0.5291648,none
GBIME,2025-08-21,252.01,77.6923076923077,6.820164484265973,0.6090593628104102,0.6715034206375613,0.5267528,none
AHL,2025-08-21,640.79,66.23012160898037,0.6041315214399674,0.344923081277065,0.1983454689640257,0.42256898,none
RHPL,2025-08-21,321.43,5.26315789473685,-11.791295310079818,0.4469853777088397,2.487166462577328,0.4455897,MACD-cross
GBLBS,2025-08-21,786.75,53.96825396825397,-15.038811105230252,0.10957932191669906,0.3209167582011704,0.37432706,none
RAWA,2025-08-21,775.83,75.57770729497055,-7.543813253521421,0.33969590794107535,0.11289425434169052,0.38578075,none
HATHY,2025-08-21,1242.15,65.09298998569386,-5.874175835356709,0.3815067730461576,0.6066699371580674,0.4096977,none
PRIN,2025-08-21,766.55,48.4472049689441,-25.40869948802242,0.17909352043331425,0.17344465391866415,0.37905148,none
API,2025-08-21,292.93,71.84466019417475,-2.2025162577136825,0.2405355655437403,0.38778660328220116,0.40835917,none
BARUN,2025-08-21,363.91,73.76237623762376,-11.588226048548108,0.23653059491317951,0.4070730449367097,0.5241805,none
HBL,2025-08-21,213.02,48.27586206896552,-4.993359653381475,0.1765574709960869,0.5934886741901437,0.38829333,none
OHL,2025-08-21,862.03,50.0,-9.641667088955614,0.293896955024364,0.27880945803533974,0.42006204,none
HDL,2025-08-21,1371.91,54.54545454545455,18.904260870237067,0.4457039614699677,0.41424059611596065,0.5713197,none
NUBL,2025-08-21,790.2,25.71428571428572,7.19916424705832,0.5244417159495793,0.5302221320083663,0.5039756,none
HEI,2025-08-21,580.24,30.9847878302642,-7.469422157691497,0.35635944198207437,0.341268632303401,0.43065596,RSI-oversold
HIDCL,2025-08-21,285.97,60.0,-4.160474540786083,0.2756152154104066,0.7257162421723563,0.4383512,none
AHPC,2025-08-21,294.89,43.636363636363626,-0.6566440448564208,0.31543941929894664,0.3578032516627577,0.4602106,none
NTC,2025-08-21,850.4,61.971830985915496,-7.55930633861476,0.16765690403935204,0.7524981964891656,0.37878075,none
HPPL,2025-08-21,495.15,63.90041493775934,-6.329553080739572,0.16483561440436764,0.6128363928529705,0.4088818,none
NRIC,2025-08-21,1563.17,78.83817427385893,42.872896821827,0.5153197704564808,0.5097729792355403,0.36462107,none
HRL,2025-08-21,974.2,87.66987892265877,0.7304918997026562,0.14934679729306075,0.5596057484128134,0.3900444,none
NMB,2025-08-21,249.51,56.25,-2.9294179170276493,0.209896463416543,0.4725853897020892,0.41530806,none
PCBL,2025-08-21,254.71,37.037037037037045,-2.76810342361938,0.3155383547028237,0.7504375117390287,0.42966995,none
UPPER,2025-08-21,194.49,59.44444444444444,-2.0424770973099555,0.21926020275147692,0.5665415080348697,0.4127972,none
MLBBL,2025-08-24,1512.76,100.0,-22.59453482317804,0.2975931655900431,0.34090508063852065,0.28092134,none
