Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
RLFL,2014-09-01,166.0,172.0,166.0,172.0,3.61 %,1200.0,201900.0,,,,,172.0,172.0,,0.0,0.0,6.0,,,,,0.0
RLFL,2014-09-03,172.0,175.0,175.0,175.0,1.74 %,500.0,87500.0,0.01744186046511631,0.017291497110061043,,,172.46153846153848,172.22222222222223,99.99999996666666,0.23931623931625268,0.04786324786325054,5.785714285714286,,,,,500.0
RLFL,2014-09-17,175.0,178.0,178.0,178.0,1.71 %,100.0,17800.0,0.017142857142857126,0.016997576368571077,,,173.31360946745565,172.6502057613169,99.99999996666666,0.6634037061387517,0.17097133951835078,5.586734693877551,,,,,600.0
RLFL,2014-09-22,178.0,178.0,178.0,178.0,0.00 %,500.0,89000.0,0.0,0.0,,,174.03459262630864,173.04648681603416,99.99999996410257,0.988105810274476,0.3343982336695759,5.187682215743441,,,,,600.0
RLFL,2014-10-13,178.0,178.0,178.0,178.0,0.00 %,210.0,37380.0,0.0,0.0,176.2,,174.64465529918422,173.41341371855015,99.99999996134122,1.2312415806340766,0.5137669030624761,4.817133486047481,,,,,600.0
RLFL,2014-10-14,178.0,178.0,178.0,178.0,0.00 %,3000.0,534000.0,0.0,0.0,177.4,,175.1608621762328,173.7531608505094,99.99999995836747,1.4077013257233943,0.6925537875946598,4.473052522758375,,,,,600.0
RLFL,2014-11-10,178.0,175.0,161.0,161.0,-9.55 %,60.0,10060.0,-0.0955056179775281,-0.10037918530762216,174.6,,172.9822679952739,172.8084822689902,64.74900059330469,0.17378572628371103,0.5888001753324701,5.367834485418491,,,,,540.0
RLFL,2014-11-11,161.0,158.0,147.0,147.0,-8.70 %,590.0,86990.0,-0.08695652173913049,-0.09097177820572676,168.4,,168.98499599600098,170.89674284165758,49.32756216699524,-1.9117468456566087,0.08869077113465429,5.984417736460028,,,,,-50.0
RLFL,2014-11-12,147.0,145.0,145.0,145.0,-1.36 %,110.0,15950.0,-0.013605442176870763,-0.013698844358161915,161.8,,165.29499661200083,168.97846559412739,47.583992377115244,-3.6834689821265556,-0.6657411795175877,5.699816469570027,,,,,-160.0
RLFL,2014-11-17,145.0,147.0,147.0,147.0,1.38 %,100.0,14700.0,0.01379310344827589,0.013698844358161927,155.6,,162.48038174861608,167.3504311056735,49.50608115726824,-4.870049357057411,-1.5066028150255524,5.4355438646007395,,,,,-60.0
RLFL,2014-12-01,147.0,145.0,141.0,141.0,-4.08 %,510.0,72730.0,-0.04081632653061229,-0.041672696400568074,148.2,,159.1757076334444,165.39854732006808,44.262247514948534,-6.222839686623672,-2.4498501893451765,5.475862159986401,,,,,-570.0
RLFL,2014-12-02,141.0,140.0,130.0,140.0,-0.71 %,5760.0,778490.0,-0.007092198581560294,-0.0071174677688639896,144.0,,156.22559876676067,163.51717344450748,43.436441525536054,-7.291574677746809,-3.418195087025503,5.870443434273087,,,,,-6330.0
RLFL,2014-12-03,140.0,138.0,136.0,136.0,-2.86 %,10880.0,1481440.0,-0.02857142857142858,-0.028987536873252298,141.8,,153.11396818725905,161.4788643004699,40.205185911327014,-8.364896113210847,-4.407535292262573,5.736840331825009,,,,,-17210.0
RLFL,2014-12-04,136.0,138.0,138.0,138.0,1.47 %,2000.0,276000.0,0.014705882352941124,0.014598799421152631,140.4,,150.7887423122961,159.73968916710177,42.508103508911084,-8.950946854805665,-5.316217604771191,5.4699231652660805,,,,,-15210.0
RLFL,2014-12-07,138.0,139.0,135.0,139.0,0.72 %,2740.0,379060.0,0.007246376811594235,0.007220247973487097,138.8,,148.97508964886595,158.20341589546462,43.676154664096416,-9.22832624659867,-6.0986393331366875,5.3649286534613605,,,,,-12470.0
RLFL,2014-12-08,139.0,141.0,141.0,141.0,1.44 %,500.0,70500.0,0.014388489208633004,0.014285957247476434,138.8,,147.74815277980963,156.92908879209688,46.03751283459675,-9.180936012287248,-6.7150986689668,5.124576606785549,,,,,-11970.0
RLFL,2014-12-09,141.0,147.0,143.0,147.0,4.26 %,150.0,21750.0,0.042553191489361764,0.04167269640056808,140.2,,147.63305235214662,156.19360073342304,52.47475531042316,-8.56054838127642,-7.084188611428725,5.187106849158011,,,,,-11820.0
RLFL,2014-12-10,147.0,147.0,145.0,147.0,0.00 %,250.0,36350.0,0.0,0.0,142.4,,147.53565968258562,155.512593271688,52.47475530929962,-7.976933589102373,-7.262737606963455,4.959456359932439,,,,,-11820.0
RLFL,2014-12-15,147.0,150.0,145.0,145.0,-1.36 %,2150.0,313650.0,-0.013605442176870763,-0.013698844358161915,143.8,,147.14555819295705,154.73388265897034,50.161484880270145,-7.58832446601329,-7.327854978773423,4.962352334222978,,,,,-13970.0
RLFL,2014-12-16,145.0,145.0,143.0,143.0,-1.38 %,600.0,85900.0,-0.01379310344827589,-0.01388911216066715,144.6,153.8,146.5077800094252,153.86470616571327,47.888023505474145,-7.356926156288068,-7.333669214276352,4.750755738921337,153.8,16.116679820020405,186.03335964004083,121.5666403599592,-14570.0
RLFL,2014-12-22,143.0,143.0,143.0,143.0,0.00 %,120.0,17160.0,0.0,0.0,145.0,152.35,145.9681215464367,153.05991311640116,47.88802350430545,-7.091791569964471,-7.2852936854139765,4.411416043284099,152.35,15.69201942658149,183.73403885316299,120.96596114683702,-14570.0
RLFL,2014-12-23,143.0,142.0,140.0,140.0,-2.10 %,130.0,18360.0,-0.020979020979020935,-0.021202207650602937,143.6,150.6,145.04994900083105,152.0925121448159,44.38820588224267,-7.042563143984864,-7.236747577128154,4.310600611620949,150.6,14.968036119115908,180.5360722382318,120.66392776176818,-14700.0
RLFL,2015-01-05,140.0,138.0,138.0,138.0,-1.43 %,50.0,6900.0,-0.014285714285714235,-0.014388737452099556,141.8,148.6,143.96534146224167,151.04862235631103,42.17526532309628,-7.083280894069361,-7.206054240516396,4.145557710790882,148.6,13.735853967283102,176.0717079345662,121.12829206543378,-14750.0
RLFL,2015-01-06,138.0,136.0,134.0,134.0,-2.90 %,650.0,88200.0,-0.02898550724637683,-0.02941388520629334,139.6,146.4,142.43221200651217,149.78576144102874,38.08568615260328,-7.353549434516566,-7.235553279316431,4.135160731448677,146.4,12.219053284027183,170.83810656805437,121.96189343194564,-15400.0
RLFL,2015-01-12,134.0,132.0,132.0,132.0,-1.49 %,110.0,14520.0,-0.014925373134328401,-0.015037877364540559,137.4,144.1,140.8272563132026,148.46829763058216,36.19580818241457,-7.641041317379546,-7.316650886929054,3.982649250630914,144.1,10.104194022390217,164.30838804478043,123.89161195521956,-15510.0
RLFL,2015-01-14,132.0,130.0,130.0,130.0,-1.52 %,60.0,7800.0,-0.015151515151515138,-0.01526747213078842,134.8,141.7,139.16152457270988,147.10027558387236,34.35966886033792,-7.938751011162481,-7.44107091177574,3.8410314470144202,141.7,6.783105949031808,155.2662118980636,128.13378810193637,-15570.0
