date,title,url,category,source,domain
2017-07-29,Stock market sees transaction above Rs 5.5 billion,https://thehimalayantimes.com/business/stock-market-sees-transaction-5-5-billion-2/,gdelt,gdelt,thehimalayantimes.com
2017-07-29,Nepal stock market witnesses transaction above 5.5 billion,https://kathmandutribune.com/nepals-stock-market-witnesses-transaction-above-5-5-billion/,gdelt,gdelt,kathmandutribune.com
2017-07-30,Nepse ends week 10.78 pts higher,http://kathmandupost.ekantipur.com/news/2017-07-30/nepse-ends-week-1078-pts-higher.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-07-30,"Insurance , manufacturing buoy Nepse index",https://thehimalayantimes.com/business/insurance-manufacturing-buoy-nepse-index/,gdelt,gdelt,thehimalayantimes.com
2017-07-31,NIBL Capital set to acquire Ace Capital,https://thehimalayantimes.com/business/nibl-capital-set-acquire-ace-capital/,gdelt,gdelt,thehimalayantimes.com
2017-08-02,"MoF initiates process to select Nepse GM , DCGF CEO",https://thehimalayantimes.com/business/minister-of-finance-initiates-process-to-select-nepal-stock-exchange-general-manager-deposit-and-credit-guarantee-fund-chief-executive-officer/,gdelt,gdelt,thehimalayantimes.com
2017-08-06,"Nepse gains steam , up 14.05 points",http://kathmandupost.ekantipur.com/news/2017-08-06/nepse-gains-steam-up-1405-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-08-06,Nepse index rebounds by 14 points,https://thehimalayantimes.com/business/nepse-index-rebounds-14-points/,gdelt,gdelt,thehimalayantimes.com
2017-08-13,Nepse slips marginally at 0.42pc,http://kathmandupost.ekantipur.com/news/2017-08-13/nepse-slips-marginally-at-042pc.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-08-13,Secondary market slightly down,https://thehimalayantimes.com/business/secondary-market-slightly/,gdelt,gdelt,thehimalayantimes.com
2017-08-15,Nepse suffers double digit decline,https://thehimalayantimes.com/business/nepse-suffers-double-digit-decline/,gdelt,gdelt,thehimalayantimes.com
2017-08-20,Benchmark index sheds 1.44 per cent,https://thehimalayantimes.com/business/benchmark-index-sheds-1-44-per-cent/,gdelt,gdelt,thehimalayantimes.com
2017-08-20,Nepse sinks 23.78pts as floods hit,http://kathmandupost.ekantipur.com/news/2017-08-20/nepse-sinks-2378pts-as-floods-hit.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-08-22,Sebon mulls enforcing separate regulation,http://kathmandupost.ekantipur.com/news/2017-08-22/sebon-mulls-enforcing-separate-regulation.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-08-27,Nepse suffers double,http://kathmandupost.ekantipur.com/news/2017-08-27/nepse-suffers-double-digit-fall-20170827074605.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-08-27,Stock market sheds 0.73pc,https://thehimalayantimes.com/business/stock-market-sheds-0-73pc/,gdelt,gdelt,thehimalayantimes.com
2017-08-31,No decision yet to levy VAT on broker commission,https://thehimalayantimes.com/business/no-decision-yet-levy-vat-broker-commission/,gdelt,gdelt,thehimalayantimes.com
2017-09-01,Sebon to open second bourse despite protests,http://kathmandupost.ekantipur.com/news/2017-09-01/sebon-to-open-second-bourse-despite-protests.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-03,Stock market sheds over two per cent,https://thehimalayantimes.com/business/stock-market-sheds-two-per-cent/,gdelt,gdelt,thehimalayantimes.com
2017-09-03,PAN must for share trading from next fiscal,https://thehimalayantimes.com/business/permanent-account-number-must-share-trading-next-fiscal/,gdelt,gdelt,thehimalayantimes.com
2017-09-03,"Nepse falls flat , down 37.78 points",http://kathmandupost.ekantipur.com/news/2017-09-03/nepse-falls-flat-down-3778-points.html,gdelt,gdelt,kathmandupost.ekantipur.com
2017-09-05,Stock market sheds 25.47 points,https://thehimalayantimes.com/business/stock-market-sheds-25-47-points/,gdelt,gdelt,thehimalayantimes.com
2017-09-05,Daily turnover at Nepse up 10 times in five years,https://thehimalayantimes.com/business/daily-turnover-at-nepse-up-10-times-in-five-years/,gdelt,gdelt,thehimalayantimes.com
2017-09-07,50 real sector companies vie for Nepse listing,http://kathmandupost.ekantipur.com/news/2017-09-07/50-real-sector-companies-vie-for-nepse-listing.html,gdelt,gdelt,kathmandupost.ekantipur.com
