fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5435161736333272,0.5341843181721146,0.5526825699068404,2018-02-01 → 2018-12-31
2,72195,15304,0.563056439362333,0.5542149844827612,0.5722705690405435,2019-02-01 → 2019-12-31
3,88928,12299,0.5016889139867652,0.48992791109426864,0.5124692739775419,2020-02-01 → 2020-12-31
4,102882,16940,0.5663966322241943,0.557612059888199,0.5755145696636393,2021-02-01 → 2021-12-31
5,121362,17294,0.4979474219222816,0.48908162797338317,0.5066216186656828,2022-02-01 → 2022-12-31
6,140391,18303,0.5103519374392961,0.5020847750965497,0.5182362915041192,2023-02-01 → 2023-12-31
7,160243,20728,0.5365869263512184,0.5293842549355833,0.5444783610451849,2024-02-01 → 2024-12-31
8,183103,19994,0.5111174659357743,0.5032522967232521,0.5189013369977461,2025-02-01 → 2025-12-31
9,204972,13889,0.5521147061417264,0.5421759765309769,0.5615925500949323,2026-02-01 → 2026-08-20
