fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5705868626920597,0.5602813024834528,0.5810172614111893,2018-02-01 → 2018-12-31
2,72195,15304,0.5696309543863,0.5599289348194054,0.5793092222999765,2019-02-01 → 2019-12-31
3,88928,12299,0.4608462213817789,0.4506692961810016,0.47045504621623996,2020-02-01 → 2020-12-31
4,102882,16940,0.5870419204174503,0.5785041128904802,0.5955228754246074,2021-02-01 → 2021-12-31
5,121362,17294,0.5003102952663627,0.4905903586371919,0.5099524049690832,2022-02-01 → 2022-12-31
6,140391,18303,0.4978218900955311,0.4895785178059531,0.5059691822929266,2023-02-01 → 2023-12-31
7,160243,20728,0.5519373826039174,0.5437866217784331,0.5600211661132275,2024-02-01 → 2024-12-31
8,183103,19994,0.49916969789577215,0.4900538540734109,0.5073782364085785,2025-02-01 → 2025-12-31
9,204972,13889,0.46913724313986827,0.4586661538172915,0.47846213676271376,2026-02-01 → 2026-08-20
