fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5307238410747857,0.5215741368043364,0.5406853533953986,2018-02-01 → 2018-12-31
2,72195,15304,0.5762776718903705,0.5672833539888412,0.5852673583090678,2019-02-01 → 2019-12-31
3,88928,12299,0.5087102071548419,0.49753857377199473,0.5196247721381912,2020-02-01 → 2020-12-31
4,102882,16940,0.5655884906746601,0.5569844229980578,0.5740625802073311,2021-02-01 → 2021-12-31
5,121362,17294,0.4935390663794125,0.48489073071265876,0.5026036739000947,2022-02-01 → 2022-12-31
6,140391,18303,0.5007754085601996,0.4926837462018878,0.5089023778096776,2023-02-01 → 2023-12-31
7,160243,20728,0.5397810175025418,0.5319722298974344,0.5476498971689501,2024-02-01 → 2024-12-31
8,183103,19994,0.5351199632075885,0.5270287904444702,0.5430471007999408,2025-02-01 → 2025-12-31
9,204972,13889,0.5531205757900306,0.543246168119942,0.5627788988220236,2026-02-01 → 2026-08-20
