fold,train_rows,test_rows,auc,auc_ci_low,auc_ci_high,test_period
1,57463,13521,0.5599423620339969,0.5504608012234443,0.5697021994174478,2018-02-01 → 2018-12-31
2,72195,15304,0.5523150407891746,0.5432218202709782,0.5618331879124383,2019-02-01 → 2019-12-31
3,88928,12299,0.47862736766872876,0.4681682676484148,0.48857286920863957,2020-02-01 → 2020-12-31
4,102882,16940,0.5791452062009497,0.570407159509987,0.5880100122246931,2021-02-01 → 2021-12-31
5,121362,17294,0.5036738553156436,0.4943112748467837,0.5132263669780386,2022-02-01 → 2022-12-31
6,140391,18303,0.5277223656931791,0.5189901280583148,0.5360070024919462,2023-02-01 → 2023-12-31
7,160243,20728,0.55646806750446,0.5484959707927303,0.5644696294576986,2024-02-01 → 2024-12-31
8,183103,19994,0.4898478517779046,0.4808920163021521,0.49776931393244345,2025-02-01 → 2025-12-31
9,204972,13889,0.4556423545214139,0.4459479513329744,0.46528974754686364,2026-02-01 → 2026-08-20
